,Title,Job Description,Compnay Name,Location,Degree Type,Skills
11,Program Associate,"the organizationcentre for health ethics law and development (cheld) is a non-profit, non-governmental organisation registered in nigeria established in 2010. the organization is a research think-tank and an implementer of programs in the area of public health, mental health, child health and survival, gender-based violence, ncds and migration with a track record of supporting international organizations, policy makers and the government of nigeria in advancing policy through law, education, research and advocacy. we are recruiting to fill the position below: job titleprogram associate duties and responsibilities• support the conceptualization and execution of research, programs and consultancies along cheld’s work streams.• lead the development and writing of grant proposals• support the development of work plans and activities to enhance the visibility and growth of the organization• develop project activity reports, meeting minutes, as well as monitoring and evaluation activities qualifications• 2:1 b.sc./b.a degree in medical/life science, public health, sociology or social science is required.• masters degree in public health/social science or relevant area is desirable.• a minimum of 2 years’ experience in public health or areas such as health policy, migration governance, protection, idps, evidence-based policymaking, universal health coverage and health programming.• experience in the development and implementation of technical assistance/cooperation projects within ngos/development sector• demonstrated experience in research writing, qualitative and quantitative data collection and analysis.• highly resourceful with exceptional presentation, communication and writing skills.• ability to work with a multicultural and diverse team.  method of applicationqualified candidates should send their detailed cv and cover letters to: jessica.oga@healthlaw.com.ng using program associate as the subject of the mail. deadlinerequested documents must be received by 22 november 2021. 12:00pm wat",Centre For Health Ethics Law and Development,Lagos,"ma, ma, b.sc, nce","administrative work, accounting/finance, economics, office software packages (MS Word, Excel,), spreadsheet and database packages,web-based management systems"
12,Assistant,"urgent vacancy!a reputable school in nkpor anambra state is in need of the following subjects teachers for immediate employment.√ english language√ igbo language√ basic sci & tech√ chemistry√ physics√ economics√ ictqualifications:b.ed, b.sc, b.tech, hnd, m.ed, m.sc, m.a and n.c.e.salary:#30,000 - #50,000depending on competence, performance and skills.*skills:*tech/i.t skills (compulsory)communication skillsclassroom managementstudent relationship*location:*applicants must live within onitsha, fegge, nkpor, obosi, omagba phase 1 or 2 or ogidi.applying & interview:interview is scheduled immediately. qualified candidates should submit their cv through whatsapp to the numbers below. also call or chat the numbers below for direction to the school.👇🏼👇🏼👇🏼07082206844",Hiring Alert,Onitsha,"m.sc, ma, hnd, b.sc, b.tech, n.c.e, m.ed, m.a, mmed, b.ed, nce","Outlook, Excel, Word, PowerPoint, Google Spreadsheets"
13,Graduate Trainee,"candidate must be domiciled in/around lagos.candidates should be enterprising and result oriented.candidate should be focused, humble and teachable.little or no previous work experience is required as selected candidates will undergo internship.awaiting results will also be considered.minimum qualification is ond.candidate must be an intermediate english speaker with a sound communication skills.individual should be able to be committed towards personal improvement.candidate should have a good sense of time.knowledge of basic computer is an added advantage.selected candidate(s) would be e-mailed/scheduled for interview within 5 working days of application.note that all the covid19 protocols would be observed hence selected candidates must put on their nose mask before entering the company's premises.cvs/résumé should be sent to the company's hiring email via:  tdglobalr@gmail.com",EK Resources Nigeria Ltd,Lagos,"ond, ma, mpa, nce","leadership, self-motivated, management skills, analytical skills, communication skills"
14,Store Officer,"job summary:	to manage the company’s store and oversee all activities related to the store.	to maintain proper records of all stocks that come in or leave the store, plan and monitor stock levels.job description.	inspect deliveries for damage or discrepancies and send reports to management.	ensure accuracy of the stock levels at all times by conducting stock-taking as may be required, weekly, fortnightly, monthly, etc.	ensure adequate record keeping, manage all documentation to confirm stock levels, and maintain proper inventory control.	ensure that our accepted proper reorder level is maintained.	to ensure the correctness in the quality, quantity, specifications, condition of the materials received from vendors.	ensure that the store is always clean and all safety protocols are in place.	prepare detailed and accurate weekly and monthly stock movement and related reports.	to perform any other tasks that may be assigned to you by the management.required skills, competencies, and qualities.	efficient in inventory management.	warehouse management.	proficient in microsoft excel and other software relevant to inventory management.	effective communication skills.	ability to work smart and use own initiatives.	numeracy skills.	integrity.academic requirements.	bsc. or hnd in inventory management, statistics, accounting, or a related field.	minimum of 5 years experience as a store officer/manager, warehouse manager, or, similar role.how to apply.interested and qualified candidates should send their resume and cover letter to ginosvacancy@gmail.com, using the job title as the subject of the email.application deadline: 7th of november, 2021.",Ginos Ventures Limited,Abuja,"ma, hnd, ond, mma, mpa, bsc, ma, nce","Purchasing software, Negotiation Skills, Microsoft word, excel, powerpoint, spread sheet"
15,Head Of Human Resources,"a multinational pharmaceutical/nutraceutical manufacturing company is looking to hire an experienced head, human resources for its business operations in lagos.  location: ikeja, lagos job responsibilitiesdevelop strategies and establish policies related to:management of manpower needsnew employee recruitment processpreparation of employee training and development programspreparation of employee career paths (promotions, transfers, demotions)ensuring company regulations are in accordance with the lawemployee performance managementcompany organizational developmentpreparation of remuneration programdrafting company regulations day-to-day activitiesoversee the working environment, company culture and coordination between various departments.conduct employee development programs and employee engagement programs.coordinate with other departments. qualification & skillexcellent communication skills, including the ability to listen and effectively verbalize strategic ideasstrong leadership skills to guide an hr team and support and motivate staffa solid understanding of the key principles of employment/labour lawsthe ability to remain calm in stressful situations including during disciplinary hearings or staff conflictsknowledge of the relevant computer systems and software programs e.g. hrsmart softwaresolid ethics, morals and sound judgement education & experiencebachelor's degree in human resources or a related field, such as finance, business management, education or information technologymasters’ degree is preferableprofessional certification in hr is a mustproven hr generalist experience of 8 – 12 years is requiredexceptional organizational and communication skills is required together with proven leadership capabilities and solid knowledge of employment legislation and its application remunerationattractive",Pharmaceutical & Nutraceutical Company,Lagos,"ma, bachelor, ond, mpa, ma, nce","employment-related laws, regulations, Microsoft Office Suite, CHR, SHRM, CIPD, Performance Management and appraisal"
16,Office Clerk,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionpruvia integrated limited – we are general service merchants with a strong desire to ensure customer satisfaction in the midst of efficient and effective service delivery. we offer a wide range of services. these services are delivered with skilled and experience guided by our core values and driven by our belief that impossibility is nothing.we are recruiting to fill the position belowjob title: office clerklocation: lagosjob descriptionwe are seeking a friendly and competent office clerk to run a range of daily administrative duties, customer service for the smooth operations of the firm.responsibilitieswelcome clients and offer them refreshments.transcribe, record, fax and file documents.maintain filing, database systems, and inventories.operate office equipment such as photocopiers and fax machines.communicate with clients and employees, and respond to any queries or complaints.sort and forward incoming mail and emails, and prepare and send outgoing mail.book and prepare meeting rooms and ensure that refreshments are made available.book flights and accommodation as required.coordinate activities and disseminate information to office staff. requirementsb.sc / hnd in office management or related field.2 – 4 years cognate experience as an office clerk or similar role.strong computer skills and working knowledge of microsoft office.time management and organizational skills.attention to detail.personable demeanor.ability to type 45 – 60 wpm (words per minute).certificate in office administration or associate’s degree in office management may be required.application closing date12th november, 2021.don't keep! kindly share:",Pruvia Integrated Limited,Lagos,"ma, hnd, b.sc, mea, ond, mpa, nce","Computer skills, Microsoft Word, Excel, Powerpoint, Corel draw"
17,Accountant/Auditor,"duties/responsibilities:* examines assigned financial records and statements for accuracy.* analyzes financial data, making recommendations as appropriate to improve accuracy, efficiency, and to reduce costs.* inspects the budget and general ledger for assigned departments and accounts, ensuring that funds are available, and expenditures are assigned correctly.* reviews and/or assists with preparation of financial statements and records provided to federal, state, and internal auditors and similar personnel.*as needed, assists with accounting duties for and corrections to listed financial records.* as appropriate, identifies and recommends updates to accounting systems and procedures.*assists as needed with preparation of annual financial reports.performs other related duties as assigned.required skills/abilities:* expert knowledge of general financial accounting and cost accounting.* understanding of and ability to adhere to generally accepted accounting principles.* proficient with accounting software.*excellent organizational skills and attention to detail.* excellent written and verbal communication skills.*proficient in microsoft office suite or similar software.education and experience:* bachelors degree in accounting, finance, or related discipline required.*at least two years of related experience required.*must be female strictly* must reside within lekki/ajah axis strictly.",Chiji14xchange,Lagos,"ma, bachelors, nce","ICAN, ANAN ACCA, CIA, MS Office, ERP , CISA, CITP, CISSP, CIPP, CRISC, CFE"
18,Remote Job,"appen is a global leader in speech and search technology services and we have several part-time work from home opportunities that you can apply for!requirements:• applicants must be self-motivated and internet savvy• no previous work experience or college degree required• smartphone or computer• knows how to navigate the internet and has enough resources to perform the taskhere are examples of some of the opportunities that may be available:• search engine evaluation (work with the world’s top search engine companies)• social media evaluation (help improve social media around the globe)• translation• transcription• short surveys• data collection projects (e.g. voice recording, image collection, etc.)• linguistic specialties (text to speech, computational, phonetics, pronunciation, annotation, etc.)benefits:• earn extra income while at home• flexible work hours• you can apply to as may projects as you can• you can work on our projects around your other jobs or while studying• appen is ranked as top 1 out of 100 companies offering remote jobs by flexjobs.comapply and register in our website to start your journey with us! thank you and we hope you can be part of our growing global team!a diverse, inclusive culture is vital to our mission of helping build better ai. we offer opportunities for individuals of all abilities and backgrounds.",Appen,Lagos,"ma, m!a, mpa, nce","Web development using PHP, Python, Ruby or Go, git , DNS, TLS and encryption"
19,Project Coordinator,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionoxfam is an international confederation of 17 organizations (affiliates) committed to creating a just world without poverty. in nigeria oxfam works in the areas of economic justice/sustainable livelihoods, humanitarian programming to save lives, advancing gender justice and good governance, adopting a right based approach.we are recruiting to fill the position belowjob title: project coordinatorrequisition id: 10488location: bauchijob family: programslevel: c2duration: until dec. 31, 2022reporting to: project manager, linedirect reports: initially none to increase to up to nine persons after mar 31, 2022job purposeto lead the remaining implementation and final closure of the global affairs-funded livelihoods and nutritional empowerment (line) project in bauchi state. the position holder will work closely with line’s implementing partners in bauchi state to deliver core objectives of the project in line with the project’s approved work plans and budgets, and with oxfam in nigeria’s country strategy (2021 -2025).the position holder will also lead in stakeholder engagement in the state towards achieving improved service delivery by governments and promoting transparent and accountable systems at all levels of government.critical to the success of the project will be the collective design and implementation of sustainability plans in support of all project interventions which the project coordinator will lead.it will be expected that the project’s gender justice mainstreaming and women’s economic empowerment components will be sustained during and at the completion of the delivery strategies by the position holder.it is anticipated that the project manager will mentor and coach the successful candidate before handing over further responsibilities for overall project management and closure.major responsibilitiesinitially, in support of the project manager, oversee the project teams of oxfam line and partners by providing technical and administrative support for efficient management of the project in bauchi state where the position is based.to oversee the implementation of line’s activities, including project workplans, budgets and results monitoring frameworks, using results based management (rbm) principles.to help guide the implementation of line’s advocacy and influencing activities, working in collaboration with the project’s governance and influencing officer, and with support from relevant units at the oxfam in nigeria country office when appropriate.support the design and implementation of climate-resilient initiatives across target rural communities and lgas that are community-led, gender responsive, and appropriate to deepen adaptive and preventive capacities of vulnerable populations.strengthen and identify opportunities for relevant program linkages and partnerships with governments and the private sector for the promotion of inclusive and sustainable markets and livelihoods for the poor.working with the environmental compliance officer and other staff members, support the development and implementation of strategies to promote disaster risk reduction, peace and conflict management and community development using appropriate methodologies.work closely with other project staff (oxfam and partners) in promoting active citizenship among rural people and their vslas/vslfs through structured engagement, appropriate mobilization, and capacity building to effect positive change in policies and leadership in government and traditional governance systems.support the identification and documentation of stories of change and evidence of changes on the ground using case studies and other related approaches, the output of which shall be used for advocacy engagements at all levels in alignment with the project’s theory of change.provide support to other project staff (oxfam and partners) towards understanding how to implement community development planning, policy influencing, social/behavioural change strategies and stakeholders’ influencing strategies among others.support relevant documentation of best practices, and generation of evidence towards effective policy influencing works.lead the project closure and reporting conditions, including end-of-project evaluations, asset disposal plans, human resource issues, etc.represent the line project at numerous fora.undertake any other tasks as requested by the project manager.key tasks support the development of sustainability plans for all project interventions through evidence-based datato support the collection of project results as per the project’s performance measurement framework, identify data gaps, and work with the project’s meal officer to design appropriate data collection modalities using rbm approaches.to coordinate and support the design and development of sustainable strategies and plans.support all project community engagement activities as per the annual work planwork closely with the project team and implementing partners to support all of the project’s interventions with each of line’s communities and groups, recognize their peculiar needs and instil community ownership.adapt and adjust, when appropriate, implementation strategies for greater sustainability.represent line and oxfamto establish and develop relationships with relevant high-profile influencers, including but not limited to state governors, commissioners, permanent secretaries, local government chairmen, civil servants, think tanks, academia, private sector players, religious leaders, and reputable states(wo)men etc.maintain cordial and productive relationships with line’s implementing partners.to represent the line project at relevant public events and in the media, including speaking at project events after due clarification from the project manager.work with the oxfam in nigeria country officeto provide line project lessons and data for inclusion in country-level programming and reporting.recognizing line implementation stages and in alignment with oxfam in nigeria’s advocacy and influencing strategy. to work with the project team in the development of advocacy and influencing strategies that are suitable and relevant to the contexts where line is being implemented.design and develop advocacy plans for project closeoutto identify, work with and collaborate, where necessary, with line’s local ngo partners on advocacy, influencing and campaigning on improving food security and agricultural governance systems.in association with the relevant team members, to identify any potential opportunities and impact of line’s advocacy or influencing or campaigning on local partners and advise the project manager accordingly.guide and support the final project data collection and evaluation processes and ensure all donor reporting requirements are completed as per the project’s contribution agreement.other dutiesto work closely with other members of the project team, including ngo partners, in delivering on all the objectives of line.to provide regular communication and feedback to oxfam management, both in abuja (oxfam in nigeria) and montreal (oxfam quebec).to ensure at all times that oxfam’s policy on safeguarding is strictly adhered to and provide supports to colleagues and beneficiaries to report any suspicious act of sexual harassment, inappropriate behaviours and fraud using appropriate communication channels.to undertake any other tasks that may be regarded as appropriate for a role of this nature within the organisation and those to be assigned by the project manager.to travel as required and represent line at appropriate national fora.educational qualificationrequirementsuniversity degree or equivalent in development studies, sociology, rural sociology & extension services, development communications, or other relevant fields, with a minimum of five (5) years cognate experience. or,post-graduate qualification in development studies, sociology, rural sociology & extension services, development communications, or other relevant fields, with a minimum of three (3) years cognate experience.relevant training in thematic professional areas will be an added advantage.experienceexperience in working with high, mid and low-level influencers across different socio-economic groupings and geographies.knowledge of working on international donor-funded projects, and the requisite narrative and financial reporting structures.working with rural communities and facilitation of community development activities using participatory methodologies.experience with managing people and overseeing performance review processes.experience working with vulnerable rural people, including women, young children, and youth.experience in advocacy and campaigning targeting diverse stakeholders in a similar position.working in difficult terrains with limited access to urban facilities.cultural awareness of northern nigeria and/or experience of the socio-cultural and religious issues of the region.skills and attributesdemonstrable negotiation, influencing and relationship-building skills.skilled at communicating in a clear, concise and compelling manner to a wide range of audiences.fluency in spoken and written english language. hausa language proficiency will be an added advantage.practical skills and experience in using rbm approaches and methodologies.strong written communication skills.proven organisational and administrative skills.computer literate in word, excel and outlook.proven ability for planning and carry out training sessions.personal qualitiesself-motivated and able to work under pressure and prioritise effectively.good team player prepared to contribute to the overall success of the organisation.personality with a ‘can do’ spirit and a great deal of attention to detail.willingness to carry out extensive and frequent travels in northern nigeria.key behavioural competenciesdecisiveness: we are comfortable making transparent decisions and adapting decision making modes to the context and needs.influencing: we have the ability to engage with diverse stakeholders in a way that leads to increased impact for the organization we spot opportunities to influence effectively and where there are no opportunities, we have the ability to create them in a respectful and impactful manner.humility: we put ‘we’ before ‘me’ and place an emphasis on the power of the collective, nurture the team and play to the strengths of each individual. we are not concerned with hierarchical power, and we engage with, trust and value the knowledge and expertise of others across all levels of the organization.relationship building: we understand the importance of building relationships, within and outside the organization. we have the ability to engage with traditional and non-traditional stakeholders in ways that lead to increased impact for the organization.listening: we are good listeners who can see where deeper levels of thoughts and tacit assumptions differ. our messages to others are clear and consider different preferences.mutual accountability: we can explain our decisions and how we have taken them based on our organizational values. we are ready to be held to account for what we do and how we behave, as we are also holding others to account in a consistent manner.agility, complexity, and ambiguity: we scan the environment, anticipate changes, are comfortable with lack of clarity and deal with a large number of elements interacting in diverse and unpredictable ways.systems thinking: we view problems as parts of an overall system and in their relation to the whole system, rather than reacting to a specific part, outcome or event in isolation. we focus on cyclical rather than linear cause and effect. by consistently practising systems thinking we are aware of and manage well-unintended consequences of organizational decisions and actions.strategic thinking and judgment: we use judgment, weighing risk against the imperative to act. we make decisions consistent with organizational strategies and values.vision setting: we have the ability to identify and lead visionary initiatives that are beneficial for our organization and we set high-level direction through a visioning process that engages the organization and diverse external stakeholders.self-awareness: we are able to develop a high degree of self-awareness around our own strengths and weaknesses and our impact on others. our self-awareness enables us to moderate and self-regulate our behaviours to control and channel our impulses for good purposes.enabling: we all work to effectively empower and enable others to deliver the organizations goals through creating conditions of success. we passionately invest in others by developing their careers, not only their skills for the job. we provide freedom; demonstrate belief and trust provide appropriate support.application closing date15th november, 2021.don't keep! kindly share:",Oxfam,Bauchi,"ma, mea, ond, mia, mpa, ma, nce","PMP / PRINCE2, Microsoft Project , Microsoft Planner, Project Management Tools, Basecamp,Trello, Data Analysis"
23,Graduate Trainee,"ensure high levels of customer satisfaction through excellent sales serviceassess customers needs and provide assistance and information on product featurefollow and achieve department’s sales goals on a monthly, quarterly and yearly basis“go the extra mile” to drive salesmaintain in-stock and presentable condition assigned areasremain knowledgeable on products offered and discuss available optionsteam up with co-workers to ensure proper customer servicebuild productive trust relationships with customerssuggest ways to improve sales.",LDG,Lagos,"ond, ma, nce","leadership, self-motivated, management skills, analytical skills, communication skills"
29,Risk Advisor,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptiondeloitte is the largest private professional services network in the world. everyday, approximately 286,200 professionals in more than 150 countries demonstrate their commitment to making an impact that matters. our west africa practice serves multinationals, large national enterprises, small and medium-sized enterprises and the public sector across nigeria and ghana.in nigeria, deloitte is one of the leading professional services firms, specializing in providing audit, tax, consulting, risk advisory and financial advisory services. we serve clients in a variety of industries from financial services, consumer, telecommunications, media & technology, energy resources & industrial and government and public services.we are recruiting to fill the following positions below regional head of retail location: nigeria  chief dealer location: lagos  risk advisor – governance risk & regulatory (experienced hire)location: lagos senior consultant, core business operations location: lagos  consultant (future opportunities) locations: lagos & abuja  tax & legal professional – future opportunities locations: lagos & abuja  risk advisor (future opportunities) locations: lagos & abuja  audit & assurance professional – future opportunities locations: lagos & abuja  financial advisor (future opportunities) locations: lagos and abuja application closing datenot specified.don't keep! kindly share:",Deloitte Nigeria,Lagos,"ond, mpa, ma, nce","Governance and Accountability, ICAN, ACCA,CIA CISA, Python, C#,Excel, Word and Power-point"
